Praise for	Praise for	Похвала за	Praise for
— Pamela K. Krause, LCSW, senior lead trainer for IFS-I	— Pamela K. Krause, LCSW, senior lead trainer for IFS-I	— Памела К. Краузе, LCSW, старший ведущий тренер IFS-I.	— Pamela K. Krause, LCSW, senior lead trainer for IFS-I
“In Listening When Parts Speak, Tamala’s expertise and profound commitment to Internal Family Systems shine through every page. She guides readers with an incredibly nurturing touch and a compassionate approach for anyone seeking to embark on or continue their path toward growth, self-respect, and self-fulfillment. Tamala has created a sanctuary within these pages letting readers know that not only do their feelings matter but they hold the key to deep healing. This book is a mastery of a holistic mind-and-soul approach; it can be a wonderful companion on the journey toward self-love as well as a fantastic guide on the inner workings of IFS.”	“In Listening When Parts Speak, Tamala’s expertise and profound commitment to Internal Family Systems shine through every page. She guides readers with an incredibly nurturing touch and a compassionate approach for anyone seeking to embark on or continue their path toward growth, self-respect, and self-fulfillment. Tamala has created a sanctuary within these pages letting readers know that not only do their feelings matter but they hold the key to deep healing. This book is a mastery of a holistic mind-and-soul approach; it can be a wonderful companion on the journey toward self-love as well as a fantastic guide on the inner workings of IFS.”	«В книге «Слушай, когда говорят части» опыт Тамалы и глубокая приверженность внутренним семейным системам проявляются на каждой странице. Она направляет читателей с невероятно заботливым подходом и сострадательным подходом ко всем, кто хочет вступить или продолжить свой путь к росту, самоуважению и самореализации. Тамала создала на этих страницах убежище, позволяющее читателям понять, что их чувства не только имеют значение, но и содержат ключ к глубокому исцелению. Эта книга представляет собой образец целостного подхода к разуму и душе; он может стать прекрасным спутником на пути к любви к себе, а также фантастическим руководством по внутренней работе IFS».	“In Listening When Parts Speak, Tamala’s expertise and profound commitment to Internal Family Systems shine through every page. She guides readers with an incredibly nurturing touch and a compassionate approach for anyone seeking to embark on or continue their path toward growth, self-respect, and self-fulfillment. Tamala has created a sanctuary within these pages letting readers know that not only do their feelings matter but they hold the key to deep healing. This book is a mastery of a holistic mind-and-soul approach; it can be a wonderful companion on the journey toward self-love as well as a fantastic guide on the inner workings of IFS.”
— Lorriane Anderson, spiritual teacher, author of the best-selling The Witch’s Apothecary, and co-author of the best-selling Seasons of the Witch oracle deck series	— Lorriane Anderson, spiritual teacher, author of the best-selling The Witch’s Apothecary, and co-author of the best-selling Seasons of the Witch oracle deck series	— Лорриан Андерсон, духовный учитель, автор бестселлера «Аптека ведьмы» и соавтор бестселлера серии колод оракулов «Времена года ведьмы».	— Lorriane Anderson, spiritual teacher, author of the best-selling The Witch’s Apothecary, and co-author of the best-selling Seasons of the Witch oracle deck series
“Tamala Floyd’s book deepens and expands our connection and understanding with ‘parts’ of ourselves through IFS and support from our ancestors, delicately peeling back the layers of life with clarity and wisdom through her personal stories. The book is filled with inspiring meditations of healing and journal exercises, uncovering the power of self-leadership. Tamala leads us in processing trauma and pain to get in touch with sources of strength, creativity, compassion, and connection to recognize our own true Spirit. You’ll come away with tools to navigate life with wisdom and intuition. A must-read for anyone seeking a holistic approach to healing and self-discovery.”	“Tamala Floyd’s book deepens and expands our connection and understanding with ‘parts’ of ourselves through IFS and support from our ancestors, delicately peeling back the layers of life with clarity and wisdom through her personal stories. The book is filled with inspiring meditations of healing and journal exercises, uncovering the power of self-leadership. Tamala leads us in processing trauma and pain to get in touch with sources of strength, creativity, compassion, and connection to recognize our own true Spirit. You’ll come away with tools to navigate life with wisdom and intuition. A must-read for anyone seeking a holistic approach to healing and self-discovery.”	«Книга Тамалы Флойд углубляет и расширяет нашу связь и понимание «частей» нас самих через IFS и поддержку наших предков, деликатно снимая слои жизни с ясностью и мудростью через ее личные истории. Книга наполнена вдохновляющими размышлениями об исцелении и дневниковыми упражнениями, раскрывающими силу самоуправления. Тамала помогает нам справиться с травмами и болью, чтобы соприкоснуться с источниками силы, творчества, сострадания и связи, чтобы осознать наш собственный истинный Дух. Вы получите инструменты, позволяющие ориентироваться в жизни с мудростью и интуицией. Обязательно к прочтению всем, кто ищет целостный подход к исцелению и самопознанию».	“Tamala Floyd’s book deepens and expands our connection and understanding with ‘parts’ of ourselves through IFS and support from our ancestors, delicately peeling back the layers of life with clarity and wisdom through her personal stories. The book is filled with inspiring meditations of healing and journal exercises, uncovering the power of self-leadership. Tamala leads us in processing trauma and pain to get in touch with sources of strength, creativity, compassion, and connection to recognize our own true Spirit. You’ll come away with tools to navigate life with wisdom and intuition. A must-read for anyone seeking a holistic approach to healing and self-discovery.”
— Jataunia Schweitzer, MMTCP, certified mindfulness meditation teacher	— Jataunia Schweitzer, MMTCP, certified mindfulness meditation teacher	— Джатауния Швейцер, MMTCP, сертифицированный преподаватель медитации осознанности.	— Jataunia Schweitzer, MMTCP, certified mindfulness meditation teacher
“It’s a privilege to recommend Listening When Parts Speak. Tamala, who has rich experience as a licensed clinical social worker and therapist, beautifully integrates the principles of Internal Family Systems Therapy with the wisdom of our ancestors. Using her extensive expertise and stories from her own healing journey, Tamala makes the exploration of complex therapeutic concepts approachable and deeply engaging. Tamala’s narratives, practical exercises, and meditations highlight the path of IFS and ancestral healing, making it accessible to all. Tamala’s ability to effectuate growth and understanding makes this a valuable resource for therapists, clients, and anyone dedicated to their personal discovery and healing path.”	“It’s a privilege to recommend Listening When Parts Speak. Tamala, who has rich experience as a licensed clinical social worker and therapist, beautifully integrates the principles of Internal Family Systems Therapy with the wisdom of our ancestors. Using her extensive expertise and stories from her own healing journey, Tamala makes the exploration of complex therapeutic concepts approachable and deeply engaging. Tamala’s narratives, practical exercises, and meditations highlight the path of IFS and ancestral healing, making it accessible to all. Tamala’s ability to effectuate growth and understanding makes this a valuable resource for therapists, clients, and anyone dedicated to their personal discovery and healing path.”	«Для меня большая честь рекомендовать «Слушать, когда говорят части». Тамала, имеющая богатый опыт работы лицензированным клиническим социальным работником и терапевтом, прекрасно сочетает принципы внутренней семейной системной терапии с мудростью наших предков. Используя свой обширный опыт и истории из своего собственного пути к исцелению, Тамала делает исследование сложных терапевтических концепций доступным и глубоко увлекательным. Рассказы Тамалы, практические упражнения и медитации освещают путь IFS и исцеления предков, делая его доступным для всех. Способность Тамалы способствовать росту и пониманию делает ее ценным ресурсом для терапевтов, клиентов и всех, кто посвятил себя своим личным открытиям и пути исцеления».	“It’s a privilege to recommend Listening When Parts Speak. Tamala, who has rich experience as a licensed clinical social worker and therapist, beautifully integrates the principles of Internal Family Systems Therapy with the wisdom of our ancestors. Using her extensive expertise and stories from her own healing journey, Tamala makes the exploration of complex therapeutic concepts approachable and deeply engaging. Tamala’s narratives, practical exercises, and meditations highlight the path of IFS and ancestral healing, making it accessible to all. Tamala’s ability to effectuate growth and understanding makes this a valuable resource for therapists, clients, and anyone dedicated to their personal discovery and healing path.”
— Lisa R. Savage, LCSW, and Kim L. Knight, LMHC, founders of Clinicians of Color, LLC	— Lisa R. Savage, LCSW, and Kim L. Knight, LMHC, founders of Clinicians of Color, LLC	— Лиза Р. Сэвидж, LCSW, и Ким Л. Найт, LMHC, основатели Clinicians of Color, LLC	— Lisa R. Savage, LCSW, and Kim L. Knight, LMHC, founders of Clinicians of Color, LLC
“Through ancestral wisdom, we are invited alongside Tamala as she befriends and heals parts of herself, teaching us IFS in the process. This book is unlike other IFS books out there—it offers refreshing guidance on healing intergenerational trauma with the support of our ancestors. Each meditation is a gift offering a chance of self-discovery and connection with our ancestors and with our parts. This is a joy to read and will inspire curiosity and provide healing for many generations to come.”	“Through ancestral wisdom, we are invited alongside Tamala as she befriends and heals parts of herself, teaching us IFS in the process. This book is unlike other IFS books out there—it offers refreshing guidance on healing intergenerational trauma with the support of our ancestors. Each meditation is a gift offering a chance of self-discovery and connection with our ancestors and with our parts. This is a joy to read and will inspire curiosity and provide healing for many generations to come.”	«Благодаря древней мудрости мы приглашены вместе с Тамалой, поскольку она дружит и исцеляет части себя, обучая нас IFS в процессе. Эта книга не похожа на другие книги IFS — она предлагает свежие рекомендации по исцелению травм, передаваемых из поколения в поколение, при поддержке наших предков. Каждая медитация — это дар, дающий шанс самопознания и связи с нашими предками и нашими частями тела. Читать это одно удовольствие, оно пробудит любопытство и принесет исцеление многим будущим поколениям».	“Through ancestral wisdom, we are invited alongside Tamala as she befriends and heals parts of herself, teaching us IFS in the process. This book is unlike other IFS books out there—it offers refreshing guidance on healing intergenerational trauma with the support of our ancestors. Each meditation is a gift offering a chance of self-discovery and connection with our ancestors and with our parts. This is a joy to read and will inspire curiosity and provide healing for many generations to come.”
— Daphne Fatter, Ph.D., certified IFS licensed psychologist, IFS clinical consultant, certified ancestral lineage healing practitioner	— Daphne Fatter, Ph.D., certified IFS licensed psychologist, IFS clinical consultant, certified ancestral lineage healing practitioner	— Дафна Фаттер, доктор философии, сертифицированный психолог, лицензированный IFS, клинический консультант IFS, сертифицированный практикующий целитель по линии предков.	— Daphne Fatter, Ph.D., certified IFS licensed psychologist, IFS clinical consultant, certified ancestral lineage healing practitioner
“Listen and heal! Tamala Floyd has created a gem that will help many people heal for years to come. Using her meditations, I was able to reach and identify deeply rooted trauma that had been suppressed for years. As a result, I’m on a healing journey and see myself in different ways. As I develop relationships with my Parts, giving them a voice and listening to what they have to say will allow me to clear paths and move forward. Listening When Parts Speak will become an essential resource in my life.”	“Listen and heal! Tamala Floyd has created a gem that will help many people heal for years to come. Using her meditations, I was able to reach and identify deeply rooted trauma that had been suppressed for years. As a result, I’m on a healing journey and see myself in different ways. As I develop relationships with my Parts, giving them a voice and listening to what they have to say will allow me to clear paths and move forward. Listening When Parts Speak will become an essential resource in my life.”	«Слушай и лечись! Тамала Флойд создала драгоценный камень, который поможет многим людям исцелиться на долгие годы. Используя ее медитации, я смог выявить и выявить глубоко укоренившуюся травму, которая подавлялась годами. В результате я нахожусь на пути к исцелению и вижу себя по-другому. По мере того, как я развиваю отношения со своими Частями, предоставление им права голоса и прислушивание к тому, что они говорят, позволит мне расчистить путь и двигаться вперед. Слушать, когда говорят части, станет важным ресурсом в моей жизни».	“Listen and heal! Tamala Floyd has created a gem that will help many people heal for years to come. Using her meditations, I was able to reach and identify deeply rooted trauma that had been suppressed for years. As a result, I’m on a healing journey and see myself in different ways. As I develop relationships with my Parts, giving them a voice and listening to what they have to say will allow me to clear paths and move forward. Listening When Parts Speak will become an essential resource in my life.”
— Theresa R. Glaspie, counseling client	— Theresa R. Glaspie, counseling client	— Тереза ​​Р. Глэспи, клиент-консультант	— Theresa R. Glaspie, counseling client
Copyright © 2024 by Tamala Floyd	Copyright © 2024 by Tamala Floyd	Авторские права © 2024 Тамала Флойд	Copyright © 2024 by Tamala Floyd
Published in the United States by: Hay House LLC: www.hayhouse.com® • Published in Australia by: Hay House Australia Pty Ltd: www.hayhouse.com.au • Published in the United Kingdom by: Hay House UK Ltd: www.hayhouse.co.uk • Published in India by: Hay House Publishers (India) Pvt Ltd: www.hayhouse.co.in	Published in the United States by: Hay House LLC: www.hayhouse.com® • Published in Australia by: Hay House Australia Pty Ltd: www.hayhouse.com.au • Published in the United Kingdom by: Hay House UK Ltd: www.hayhouse.co.uk • Published in India by: Hay House Publishers (India) Pvt Ltd: www.hayhouse.co.in	Опубликовано в США: Hay House LLC: www.hayhouse.com® • Опубликовано в Австралии: Hay House Australia Pty Ltd: www.hayhouse.com.au • Опубликовано в Великобритании: Hay House UK Ltd: www .hayhouse.co.uk • Издано в Индии: Hay House Publishers (India) Pvt Ltd: www.hayhouse.co.in	Published in the United States by: Hay House LLC: www.hayhouse.com® • Published in Australia by: Hay House Australia Pty Ltd: www.hayhouse.com.au • Published in the United Kingdom by: Hay House UK Ltd: www.hayhouse.co.uk • Published in India by: Hay House Publishers (India) Pvt Ltd: www.hayhouse.co.in
Cover design: Kathleen Lynch	Cover design: Kathleen Lynch	Дизайн обложки: Кэтлин Линч.	Cover design: Kathleen Lynch
Interior design: Julie Davison	Interior design: Julie Davison	Дизайн интерьера: Джули Дэвисон	Interior design: Julie Davison
Indexer: Shapiro Indexing Services	Indexer: Shapiro Indexing Services	Индексатор: Службы индексирования Shapiro	Indexer: Shapiro Indexing Services
All rights reserved. No part of this book may be reproduced by any mechanical, photographic, or electronic process, or in the form of a phonographic recording; nor may it be stored in a retrieval system, transmitted, or otherwise be copied for public or private use—other than for “fair use” as brief quotations embodied in articles and reviews—without prior written permission of the publisher.	All rights reserved. No part of this book may be reproduced by any mechanical, photographic, or electronic process, or in the form of a phonographic recording; nor may it be stored in a retrieval system, transmitted, or otherwise be copied for public or private use—other than for “fair use” as brief quotations embodied in articles and reviews—without prior written permission of the publisher.	Все права защищены. Никакая часть этой книги не может быть воспроизведена каким-либо механическим, фотографическим или электронным способом или в форме фонографической записи; его также нельзя хранить в поисковой системе, передавать или иным образом копировать для публичного или частного использования (за исключением «добросовестного использования» в виде кратких цитат, включенных в статьи и обзоры) без предварительного письменного разрешения издателя.	All rights reserved. No part of this book may be reproduced by any mechanical, photographic, or electronic process, or in the form of a phonographic recording; nor may it be stored in a retrieval system, transmitted, or otherwise be copied for public or private use—other than for “fair use” as brief quotations embodied in articles and reviews—without prior written permission of the publisher.
The author of this book does not dispense medical advice or prescribe the use of any technique as a form of treatment for physical, emotional, or medical problems without the advice of a physician, either directly or indirectly. The intent of the author is only to offer information of a general nature to help you in your quest for emotional, physical, and spiritual well-being. In the event you use any of the information in this book for yourself, the author and the publisher assume no responsibility for your actions.	The author of this book does not dispense medical advice or prescribe the use of any technique as a form of treatment for physical, emotional, or medical problems without the advice of a physician, either directly or indirectly. The intent of the author is only to offer information of a general nature to help you in your quest for emotional, physical, and spiritual well-being. In the event you use any of the information in this book for yourself, the author and the publisher assume no responsibility for your actions.	Автор этой книги не дает медицинских советов и не предписывает использование каких-либо методов лечения физических, эмоциональных или медицинских проблем без консультации врача, прямой или косвенной. Намерение автора состоит только в том, чтобы предложить информацию общего характера, чтобы помочь вам в вашем стремлении к эмоциональному, физическому и духовному благополучию. Если вы используете какую-либо информацию из этой книги для себя, автор и издатель не несут ответственности за ваши действия.	The author of this book does not dispense medical advice or prescribe the use of any technique as a form of treatment for physical, emotional, or medical problems without the advice of a physician, either directly or indirectly. The intent of the author is only to offer information of a general nature to help you in your quest for emotional, physical, and spiritual well-being. In the event you use any of the information in this book for yourself, the author and the publisher assume no responsibility for your actions.
Cataloging-in-Publication Data is on file at the Library of Congress	Cataloging-in-Publication Data is on file at the Library of Congress	Данные каталогизации публикаций хранятся в Библиотеке Конгресса.	Cataloging-in-Publication Data is on file at the Library of Congress
Tradepaper ISBN: 978-1-4019-7565-4	Tradepaper ISBN: 978-1-4019-7565-4	ISBN торговой бумаги: 978-1-4019-7565-4	Tradepaper ISBN: 978-1-4019-7565-4
E-book ISBN: 978-1-4019-7566-1	E-book ISBN: 978-1-4019-7566-1	ISBN электронной книги: 978-1-4019-7566-1.	E-book ISBN: 978-1-4019-7566-1
Audiobook ISBN: 978-1-4019-7567-8	Audiobook ISBN: 978-1-4019-7567-8	ISBN аудиокниги: 978-1-4019-7567-8.	Audiobook ISBN: 978-1-4019-7567-8
To the wise and intuitive women of my mother’s mother’s line, especially Marva L. Collins Bush (my mom).	To the wise and intuitive women of my mother’s mother’s line, especially Marva L. Collins Bush (my mom).	Мудрым и интуитивным женщинам по материнской линии моей матери, особенно Марве Л. Коллинз Буш (моей маме).	To the wise and intuitive women of my mother’s mother’s line, especially Marva L. Collins Bush (my mom).
Contents	Contents	Содержание	Contents
Foreword	Foreword	Предисловие	Foreword
CHAPTER 1: The Ancestors and Internal Family Systems Therapy	CHAPTER 1: The Ancestors and Internal Family Systems Therapy	ГЛАВА 1: Предки и внутрисемейная системная терапия	CHAPTER 1: The Ancestors and Internal Family Systems Therapy
CHAPTER 2: Connecting Inside: Meeting Your Parts	CHAPTER 2: Connecting Inside: Meeting Your Parts	ГЛАВА 2: Внутреннее соединение: встреча ваших частей	CHAPTER 2: Connecting Inside: Meeting Your Parts
CHAPTER 3: The Meadow: Young and Vulnerable Parts	CHAPTER 3: The Meadow: Young and Vulnerable Parts	ГЛАВА 3: Луг: молодые и уязвимые части	CHAPTER 3: The Meadow: Young and Vulnerable Parts
CHAPTER 4: Self Qualities: The You That’s Not a Part	CHAPTER 4: Self Qualities: The You That’s Not a Part	ГЛАВА 4: Внутренние качества: ты, который не является частью	CHAPTER 4: Self Qualities: The You That’s Not a Part
CHAPTER 5: Be With: Encouraging Parts to Separate from You	CHAPTER 5: Be With: Encouraging Parts to Separate from You	ГЛАВА 5: Быть рядом: побуждать части отделяться от вас	CHAPTER 5: Be With: Encouraging Parts to Separate from You
CHAPTER 6: Crystal Cave with the Ancestors: Building Relationships with Your Parts	CHAPTER 6: Crystal Cave with the Ancestors: Building Relationships with Your Parts	ГЛАВА 6: Кристальная пещера с предками: построение отношений со своими частями	CHAPTER 6: Crystal Cave with the Ancestors: Building Relationships with Your Parts
CHAPTER 7: Polarization Picnic: Parts with Opposing Views	CHAPTER 7: Polarization Picnic: Parts with Opposing Views	ГЛАВА 7: Пикник поляризации: части с противоположными взглядами	CHAPTER 7: Polarization Picnic: Parts with Opposing Views
CHAPTER 8: Waterfall: Working with Trauma Expressed in the Body	CHAPTER 8: Waterfall: Working with Trauma Expressed in the Body	ГЛАВА 8: Водопад: работа с травмой, выраженной в теле	CHAPTER 8: Waterfall: Working with Trauma Expressed in the Body
CHAPTER 9: The Weary One: Helping Exhausted Parts	CHAPTER 9: The Weary One: Helping Exhausted Parts	ГЛАВА 9: Усталый: помощь изношенным частям	CHAPTER 9: The Weary One: Helping Exhausted Parts
CHAPTER 10: Elemental Healing: Unburdening and Healing Your Parts	CHAPTER 10: Elemental Healing: Unburdening and Healing Your Parts	ГЛАВА 10: Элементальное исцеление: освобождение и исцеление ваших частей	CHAPTER 10: Elemental Healing: Unburdening and Healing Your Parts
CHAPTER 11: Cabin with the Ancestor: Healing Family and Cultural Legacy Burdens	CHAPTER 11: Cabin with the Ancestor: Healing Family and Cultural Legacy Burdens	ГЛАВА 11: Хижина с предком: исцеление бремени семейного и культурного наследия	CHAPTER 11: Cabin with the Ancestor: Healing Family and Cultural Legacy Burdens
CHAPTER 12: Trailblazer: Integrating Unburdened Part	CHAPTER 12: Trailblazer: Integrating Unburdened Part	ГЛАВА 12: Первопроходец: интеграция необремененной части	CHAPTER 12: Trailblazer: Integrating Unburdened Part
CHAPTER 13: Labyrinth with the Ancestor: A Self-Led Life	CHAPTER 13: Labyrinth with the Ancestor: A Self-Led Life	ГЛАВА 13: Лабиринт с предком: самостоятельная жизнь	CHAPTER 13: Labyrinth with the Ancestor: A Self-Led Life
CHAPTER 14: Still Listening	CHAPTER 14: Still Listening	ГЛАВА 14: Все еще слушаю	CHAPTER 14: Still Listening
Still Listening Resources	Still Listening Resources	Ресурсы, которые все еще слушают	Still Listening Resources
Glossary	Glossary	Глоссарий	Glossary
Endnotes	Endnotes	Сноски	Endnotes
Index	Index	Индекс	Index
Acknowledgments	Acknowledgments	Благодарности	Acknowledgments
About the Author	About the Author	Об авторе	About the Author
Guided Meditation Audio Downloads	Guided Meditation Audio Downloads	Загрузка аудиоматериалов для управляемой медитации	Guided Meditation Audio Downloads
Empower You: Unlimited Audio Mobile App	Empower You: Unlimited Audio Mobile App	Empower You: мобильное приложение с неограниченным количеством аудио	Empower You: Unlimited Audio Mobile App
Continue Your Journey with Hay House	Continue Your Journey with Hay House	Продолжите свое путешествие с Hay House	Continue Your Journey with Hay House
Foreword	Foreword	Предисловие	Foreword
